EMPRESA (SIGLA);EMPRESA (NOME);EMPRESA (NACIONALIDADE);ANO;MÊS;AEROPORTO DE ORIGEM (SIGLA);AEROPORTO DE ORIGEM (NOME);AEROPORTO DE ORIGEM (UF);AEROPORTO DE ORIGEM (REGIÃO);AEROPORTO DE ORIGEM (PAÍS);AEROPORTO DE ORIGEM (CONTINENTE);AEROPORTO DE DESTINO (SIGLA);AEROPORTO DE DESTINO (NOME);AEROPORTO DE DESTINO (UF);AEROPORTO DE DESTINO (REGIÃO);AEROPORTO DE DESTINO (PAÍS);AEROPORTO DE DESTINO (CONTINENTE);NATUREZA;GRUPO DE VOO;PASSAGEIROS PAGOS;PASSAGEIROS GRÁTIS;CARGA PAGA (KG);CARGA GRÁTIS (KG);CORREIO (KG);ASK;RPK;ATK;RTK;COMBUSTÍVEL (LITROS);DISTÂNCIA VOADA (KM);DECOLAGENS;CARGA PAGA KM;CARGA GRATIS KM;CORREIO KM;ASSENTOS;PAYLOAD;HORAS VOADAS;BAGAGEM (KG)
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2026;1;SBAE;AREALVA;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;SBMO;RIO LARGO;AL;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;1254;2;0;0;0;3125736;2502984;351148;201653;61909;17964;9;0;0;0;1566;175929;25,1;6981
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2026;1;SBAE;AREALVA;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;SBPS;PORTO SEGURO;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;741;1;0;0;0;1066620;908466;115698;72511;23898;6130;5;0;0;0;870;94372;9,75;3571
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2026;1;SBAE;AREALVA;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;SBRF;RECIFE;PE;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;697;7;0;0;0;1891380;1515278;199608;121987;37709;10870;5;0;0;0;870;91817;15,1833;3838
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2026;1;SBAR;ARACAJU;SE;NORDESTE;BRASIL;AMÉRICA DO SUL;SBAR;ARACAJU;SE;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;IMPRODUTIVO;26;0;0;0;0;0;0;0;0;723;0;1;0;0;0;68;7230;0,416667;45
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2026;1;SBAR;ARACAJU;SE;NORDESTE;BRASIL;AMÉRICA DO SUL;SBCF;CONFINS;MG;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;5100;67;4882;29;0;6442992;6051516;704287;502727;157853;37572;31;5916984;35148;0;5316;581105;60,7333;36331
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2026;1;SBAR;ARACAJU;SE;NORDESTE;BRASIL;AMÉRICA DO SUL;SBIL;ILHÉUS;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;6;0;0;0;0;;;;;;;;;;;;;;71
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2026;1;SBAR;ARACAJU;SE;NORDESTE;BRASIL;AMÉRICA DO SUL;SBKP;CAMPINAS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;3798;111;2837;138;0;7182778;6498378;754025;552240;175348;53041;31;4854107;236118;0;4198;440701;82,4667;35079
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2026;1;SBAR;ARACAJU;SE;NORDESTE;BRASIL;AMÉRICA DO SUL;SBPS;PORTO SEGURO;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;53;0;0;0;0;;;;;;;;;;;;;;487
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2026;1;SBAR;ARACAJU;SE;NORDESTE;BRASIL;AMÉRICA DO SUL;SBRF;RECIFE;PE;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;3241;101;3588;115;0;1589544;1393128;161986;116922;57034;22968;58;1420848;45540;0;4014;409140;75,1;25363
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2026;1;SBAR;ARACAJU;SE;NORDESTE;BRASIL;AMÉRICA DO SUL;SBSP;SÃO PAULO;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;2483;37;126;21;0;4480656;4305522;466642;356707;111350;32946;19;218484;36414;0;2584;269119;54,6667;19368
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2026;1;SBAR;ARACAJU;SE;NORDESTE;BRASIL;AMÉRICA DO SUL;SBSV;SALVADOR;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;936;14;18;76;0;523204;393162;53155;31951;22559;7590;30;4554;19228;0;2068;210162;30,6833;4782
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2026;1;SBAR;ARACAJU;SE;NORDESTE;BRASIL;AMÉRICA DO SUL;SBTE;TERESINA;PI;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;NÃO REGULAR;58;0;0;0;0;107852;53012;11002;6030;3745;914;1;0;0;0;118;12038;1,61667;2248
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2026;1;SBAR;ARACAJU;SE;NORDESTE;BRASIL;AMÉRICA DO SUL;SBVC;VITÓRIA DA CONQUISTA;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;10;0;0;0;0;;;;;;;;;;;;;;82
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2026;1;SBAT;ALTA FLORESTA;MT;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL;SBKP;CAMPINAS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;1222;34;657;169;0;2847840;2132390;293729;182522;66173;20940;12;1146465;294905;0;1632;168330;32,6;12293
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2026;1;SBAU;ARAÇATUBA;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;SBKP;CAMPINAS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;1482;52;815;19;0;800352;588354;81811;49048;26497;11513;29;323555;7543;0;2016;206110;36,25;11619
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2026;1;SBAU;ARAÇATUBA;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;SBPA;PORTO ALEGRE;RS;SUL;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;IMPRODUTIVO;0;0;0;0;0;0;0;0;0;1486;987;1;0;0;0;0;0;2,66667;0
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2026;1;SBBE;BELÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;KFLL;FORT LAUDERDALE/HOLLYWOOD, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;1417;17;1750;27;0;8559610;6475690;803012;582691;192344;50270;11;7997500;123390;0;1873;175715;72,95;19480
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2026;1;SBBE;BELÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;SBBE;BELÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;IMPRODUTIVO;255;0;492;0;0;0;0;0;0;34089;0;4;0;0;0;649;65906;4,4;3024
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2026;1;SBBE;BELÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;SBBR;BRASÍLIA;DF;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;149;8;0;0;0;280488;240188;25419;20686;8254;1612;1;0;0;0;174;15769;2,95;1658
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2026;1;SBBE;BELÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;SBCF;CONFINS;MG;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;NÃO REGULAR;156;0;0;0;0;363138;325572;37532;24417;8583;2087;1;0;0;0;174;17984;3,15;0
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2026;1;SBBE;BELÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;SBCF;CONFINS;MG;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;12549;193;30393;164;0;27734143;24397030;2979747;2113050;613695;160699;77;63430191;342268;0;13289;1427785;237,067;113774
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2026;1;SBBE;BELÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;SBCJ;PARAUAPEBAS;PA;NORTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;2451;8;3264;31;0;2638560;1827120;233438;154369;83377;16008;29;1801728;17112;0;4780;422921;35,1833;19753
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2026;1;SBBE;BELÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;SBEG;MANAUS;AM;NORTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;9448;38;80334;230;0;13709646;12272952;1374647;1145857;333588;79239;61;104353866;298770;0;10554;1058260;126,083;93195
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2026;1;SBBE;BELÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;SBFZ;FORTALEZA;CE;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;NÃO REGULAR;0;0;3272;0;0;0;0;50092;3716;10589;2272;2;3716992;0;0;0;44096;3,56667;0
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2026;1;SBBE;BELÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;SBFZ;FORTALEZA;CE;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;9407;70;4406;231;0;12013200;10686352;1118200;884278;284927;70432;62;5005216;262416;0;10575;984359;112,667;68506
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2026;1;SBBE;BELÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;130;1;67;0;0;425952;362304;44531;29645;12925;2448;1;164016;0;0;174;18191;4,85;872
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2026;1;SBBE;BELÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;SBHT;ALTAMIRA;PA;NORTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;3878;14;14891;279;0;2508948;1814904;252145;160771;84847;14508;31;6968988;130572;0;5361;538801;34,3167;37822
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2026;1;SBBE;BELÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;SBKP;CAMPINAS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;NÃO REGULAR;44;2;0;0;0;397485;105996;40251;9481;8140;2409;1;0;0;0;165;16709;3,38333;636
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2026;1;SBBE;BELÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;SBKP;CAMPINAS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;13228;398;29097;2095;0;37110645;33379104;3881038;2898649;828101;214401;89;70094673;5046855;0;15405;1611077;309,533;127197
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2026;1;SBBE;BELÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;SBMA;MARABÁ;PA;NORTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;3453;25;20508;283;0;3189696;1550397;322229;133995;101506;18409;41;9208092;127067;0;7104;717707;43,6333;18986
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2026;1;SBBE;BELÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;SBMQ;MACAPÁ;AP;NORTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;6753;26;60672;567;0;2673125;2408938;264348;223849;103834;15463;47;19961088;186543;0;8125;803559;42,7167;62941
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2026;1;SBBE;BELÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;SBOI;OIAPOQUE;AP;NORTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;NÃO REGULAR;450;0;0;29;0;1835400;310500;99720;24997;51950;26220;38;0;20010;0;2660;144555;69,7333;2506
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2026;1;SBBE;BELÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;SBRF;RECIFE;PE;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;9185;107;16091;345;0;17946210;15412430;2067868;1318315;401865;109070;65;27000698;578910;0;10695;1232359;158,333;80700
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2026;1;SBBE;BELÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;SBSL;SÃO LUÍS;MA;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;3750;20;4737;139;0;2622480;1837500;260252;154175;78270;15190;31;2321130;68110;0;5352;531154;33,3333;28684
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2026;1;SBBE;BELÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;SBSN;SANTARÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;NÃO REGULAR;59;1;153;23;0;51120;41890;4254;3501;1281;710;1;108630;16330;0;72;5992;1,91667;353
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2026;1;SBBE;BELÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;SBSN;SANTARÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;7292;47;55551;213;0;6057720;5177320;595686;469351;174361;36210;51;39441210;151230;0;8532;839031;70,7666;58639
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2026;1;SBBH;BELO HORIZONTE;MG;SUDESTE;BRASIL;AMÉRICA DO SUL;SBCF;CONFINS;MG;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;IMPRODUTIVO;0;0;0;0;0;0;0;0;0;2576;125;5;0;0;0;0;0;4,7;0
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2026;1;SBBH;BELO HORIZONTE;MG;SUDESTE;BRASIL;AMÉRICA DO SUL;SBKP;CAMPINAS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;IMPRODUTIVO;0;0;0;0;0;0;0;0;0;2054;962;2;0;0;0;0;0;2,76667;0
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2026;1;SBBH;BELO HORIZONTE;MG;SUDESTE;BRASIL;AMÉRICA DO SUL;SBSP;SÃO PAULO;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;IMPRODUTIVO;0;0;0;0;0;0;0;0;0;2394;504;1;0;0;0;0;0;1,21667;0
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2026;1;SBBR;BRASÍLIA;DF;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL;SBBR;BRASÍLIA;DF;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;IMPRODUTIVO;496;17;0;0;0;0;0;0;0;17023;0;5;0;0;0;738;78601;1,83333;2378
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2026;1;SBBR;BRASÍLIA;DF;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL;SBCF;CONFINS;MG;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;8686;248;8024;458;0;6730308;5133426;702003;415995;200273;50235;85;4742184;270678;0;11388;1187898;105,35;44482
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2026;1;SBBR;BRASÍLIA;DF;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL;SBGO;GOIÂNIA;GO;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;IMPRODUTIVO;0;0;0;0;0;0;0;0;0;1973;163;1;0;0;0;0;0;1,03333;0
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2026;1;SBBR;BRASÍLIA;DF;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL;SBKP;CAMPINAS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;IMPRODUTIVO;0;0;0;0;0;0;0;0;0;3136;798;1;0;0;0;0;0;1,46667;0
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2026;1;SBBR;BRASÍLIA;DF;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL;SBKP;CAMPINAS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;NÃO REGULAR;50;0;0;0;0;108528;39900;11594;3125;2905;798;1;0;0;0;136;14529;1,75;167
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2026;1;SBBR;BRASÍLIA;DF;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL;SBKP;CAMPINAS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;15749;392;8071;5547;0;16093266;12567702;1705847;1018959;444018;113316;142;6440658;4426506;0;20167;2137746;227,6;87738
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2026;1;SBBR;BRASÍLIA;DF;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL;SBRF;RECIFE;PE;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;NÃO REGULAR;2528;19;271;53;0;7376840;4181312;816248;335510;150208;43004;26;448234;87662;0;4460;493507;65,5333;12985
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2026;1;SBBR;BRASÍLIA;DF;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL;SBRF;RECIFE;PE;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;12495;136;2708;880;0;23779558;20666730;2567744;1695190;505897;137282;83;4479032;1455520;0;14377;1552467;206,933;85096
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2026;1;SBBR;BRASÍLIA;DF;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL;SBSP;SÃO PAULO;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;IMPRODUTIVO;0;0;0;0;0;0;0;0;0;2885;872;1;0;0;0;0;0;1,78333;0
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2026;1;SBBR;BRASÍLIA;DF;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL;SBSP;SÃO PAULO;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;9792;192;3364;87;0;9700128;8538624;1026885;679051;280332;71504;82;2933408;75864;0;11124;1177670;146,35;41013
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2026;1;SBBV;BOA VISTA;RR;NORTE;BRASIL;AMÉRICA DO SUL;SBEG;MANAUS;AM;NORTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;2718;39;13144;557;0;3609130;2973502;318702;264359;101565;21056;32;8648752;366506;0;5485;484372;40,7;28294
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2026;1;SBBV;BOA VISTA;RR;NORTE;BRASIL;AMÉRICA DO SUL;SBKP;CAMPINAS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;1801;23;0;0;0;;;;;;;;;;;;;;21424
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2026;1;SBCA;CASCAVEL;PR;SUL;BRASIL;AMÉRICA DO SUL;SBCA;CASCAVEL;PR;SUL;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;IMPRODUTIVO;111;1;0;0;0;0;0;0;0;3439;0;1;0;0;0;118;9682;0,233333;740
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2026;1;SBCA;CASCAVEL;PR;SUL;BRASIL;AMÉRICA DO SUL;SBCT;SÃO JOSÉ DOS PINHAIS;PR;SUL;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;1427;28;0;0;0;921900;626453;94225;50571;28195;13170;30;0;0;0;2100;214674;39,15;8199
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2026;1;SBCA;CASCAVEL;PR;SUL;BRASIL;AMÉRICA DO SUL;SBJP;SANTA RITA;PB;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;698;7;0;0;0;2434260;1953004;244562;160510;45295;13990;5;0;0;0;870;87407;18,6833;5017
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2026;1;SBCA;CASCAVEL;PR;SUL;BRASIL;AMÉRICA DO SUL;SBKP;CAMPINAS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;IMPRODUTIVO;0;0;0;0;0;0;0;0;0;2639;684;1;0;0;0;0;0;1,23333;0
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2026;1;SBCA;CASCAVEL;PR;SUL;BRASIL;AMÉRICA DO SUL;SBKP;CAMPINAS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;6454;158;10329;175;0;4983624;4414536;504763;371435;152795;37620;55;7065036;119700;0;7286;737994;74,1667;48695
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2026;1;SBCA;CASCAVEL;PR;SUL;BRASIL;AMÉRICA DO SUL;SBMO;RIO LARGO;AL;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;1285;8;0;0;0;3961008;3269040;374133;267614;75442;22896;9;0;0;0;1557;147067;31,15;8821
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2026;1;SBCA;CASCAVEL;PR;SUL;BRASIL;AMÉRICA DO SUL;SBPS;PORTO SEGURO;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;534;0;0;0;0;1235400;947850;134035;75948;24181;7100;4;0;0;0;696;75514;9,88333;2739
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2026;1;SBCF;CONFINS;MG;SUDESTE;BRASIL;AMÉRICA DO SUL;KMCO;ORLANDO, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;NÃO REGULAR;235;2;6824;0;0;1990938;1570035;314133;185417;56166;6681;1;45591144;0;0;298;47019;8,88333;3304
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2026;1;SBCF;CONFINS;MG;SUDESTE;BRASIL;AMÉRICA DO SUL;KMCO;ORLANDO, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;4738;61;20919;0;0;37520496;31654578;3452037;3000646;1272574;140301;21;139759840;0;0;5616;516696;195,117;72864
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2026;1;SBCF;CONFINS;MG;SUDESTE;BRASIL;AMÉRICA DO SUL;LPPT;LISBOA;;;PORTUGAL;EUROPA;INTERNACIONAL;IMPRODUTIVO;0;0;0;0;0;0;0;0;0;57155;7439;1;0;0;0;0;0;8,9;0
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2026;1;SBCF;CONFINS;MG;SUDESTE;BRASIL;AMÉRICA DO SUL;SBAR;ARACAJU;SE;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;IMPRODUTIVO;0;0;0;0;0;0;0;0;0;4069;1212;1;0;0;0;0;0;2,01667;0
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2026;1;SBCF;CONFINS;MG;SUDESTE;BRASIL;AMÉRICA DO SUL;SBAR;ARACAJU;SE;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;4759;19;7923;170;0;6442992;5702460;575341;472228;149861;37572;31;9602676;206040;0;5316;474718;59,1;29244
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2026;1;SBCF;CONFINS;MG;SUDESTE;BRASIL;AMÉRICA DO SUL;SBBE;BELÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;10409;98;82668;84;0;29182521;20604951;3171679;1926645;612729;169047;81;172528116;175308;0;13983;1519752;246,05;105533
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2026;1;SBCF;CONFINS;MG;SUDESTE;BRASIL;AMÉRICA DO SUL;SBBH;BELO HORIZONTE;MG;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;IMPRODUTIVO;0;0;0;0;0;0;0;0;0;2915;75;3;0;0;0;0;0;4,11667;0
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2026;1;SBCF;CONFINS;MG;SUDESTE;BRASIL;AMÉRICA DO SUL;SBBR;BRASÍLIA;DF;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;10301;164;30455;199;0;6891060;6087891;650158;508323;228640;51417;87;17998905;117609;0;11660;1100173;115,467;57151
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2026;1;SBCF;CONFINS;MG;SUDESTE;BRASIL;AMÉRICA DO SUL;SBCF;CONFINS;MG;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;IMPRODUTIVO;2699;18;447;50;0;0;0;0;0;96350;0;32;0;0;0;3894;377028;19,4;22087
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2026;1;SBCF;CONFINS;MG;SUDESTE;BRASIL;AMÉRICA DO SUL;SBCJ;PARAUAPEBAS;PA;NORTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;NÃO REGULAR;1744;0;0;0;0;3133218;2969518;281459;258039;72394;18007;11;0;0;0;1914;171938;27,1333;20779
